 wavenumber    crosssection    coefficient
 2020.244770    1.3137905668E-22    3.7750944324E-03
 2020.249560    1.3078759940E-22    3.7580992800E-03
 2020.254350    1.3020204169E-22    3.7412736481E-03
 2020.259140    1.2962231484E-22    3.7246155622E-03
 2020.263930    1.2904835000E-22    3.7081230440E-03
 2020.268720    1.2848007813E-22    3.6917941101E-03
 2020.273510    1.2791743000E-22    3.6756267704E-03
 2020.278300    1.2736033610E-22    3.6596190282E-03
 2020.283090    1.2680872665E-22    3.6437688779E-03
 2020.287880    1.2626253148E-22    3.6280743038E-03
 2020.292670    1.2572168008E-22    3.6125332797E-03
 2020.297460    1.2518610154E-22    3.5971437677E-03
 2020.302250    1.2465572446E-22    3.5819037165E-03
 2020.307040    1.2413047698E-22    3.5668110610E-03
 2020.311830    1.2361028671E-22    3.5518637213E-03
 2020.316620    1.2309508071E-22    3.5370596013E-03
 2020.321410    1.2258478547E-22    3.5223965890E-03
 2020.326200    1.2207932687E-22    3.5078725546E-03
 2020.330990    1.2157863019E-22    3.4934853508E-03
 2020.335780    1.2108262004E-22    3.4792328118E-03
 2020.340570    1.2059122043E-22    3.4651127533E-03
 2020.345360    1.2010435466E-22    3.4511229722E-03
 2020.350150    1.1962194542E-22    3.4372612466E-03
 2020.354940    1.1914391473E-22    3.4235253359E-03
 2020.359730    1.1867018397E-22    3.4099129811E-03
 2020.364520    1.1820067392E-22    3.3964219053E-03
 2020.369310    1.1773530473E-22    3.3830498148E-03
 2020.374100    1.1727399601E-22    3.3697943996E-03
 2020.378890    1.1681666687E-22    3.3566533347E-03
 2020.383680    1.1636323591E-22    3.3436242818E-03
 2020.388470    1.1591362136E-22    3.3307048907E-03
 2020.393260    1.1546774106E-22    3.3178928013E-03
 2020.398050    1.1502551263E-22    3.3051856458E-03
 2020.402840    1.1458685348E-22    3.2925810515E-03
 2020.407630    1.1415168094E-22    3.2800766428E-03
 2020.412420    1.1371991237E-22    3.2676700449E-03
 2020.417210    1.1329146525E-22    3.2553588868E-03
 2020.422000    1.1286625731E-22    3.2431408045E-03
 2020.426790    1.1244420668E-22    3.2310134454E-03
 2020.431580    1.1202523198E-22    3.2189744716E-03
 2020.436370    1.1160911292E-22    3.2070175525E-03
 2020.441160    1.1119604891E-22    3.1951484184E-03
 2020.445950    1.1078582136E-22    3.1833607882E-03
 2020.450740    1.1037835251E-22    3.1716524273E-03
 2020.455530    1.0997356587E-22    3.1600211383E-03
 2020.460320    1.0957138646E-22    3.1484647663E-03
 2020.465110    1.0917174092E-22    3.1369812033E-03
 2020.469900    1.0877455768E-22    3.1255683931E-03
 2020.474690    1.0837976717E-22    3.1142243365E-03
 2020.479480    1.0798730195E-22    3.1029470957E-03
 2020.484270    1.0759709689E-22    3.0917347992E-03
 2020.489060    1.0720908932E-22    3.0805856459E-03
 2020.493850    1.0682321915E-22    3.0694979099E-03
 2020.498640    1.0643942908E-22    3.0584699440E-03
 2020.503430    1.0605766465E-22    3.0475001835E-03
 2020.508220    1.0567787441E-22    3.0365871502E-03
 2020.513010    1.0530001002E-22    3.0257294548E-03
 2020.517800    1.0492402630E-22    3.0149257996E-03
 2020.522590    1.0454988139E-22    3.0041749814E-03
 2020.527380    1.0417753675E-22    2.9934758926E-03
 2020.532170    1.0380695720E-22    2.9828275228E-03
 2020.536960    1.0343811101E-22    2.9722289597E-03
 2020.541750    1.0307096984E-22    2.9616793896E-03
 2020.546540    1.0270550881E-22    2.9511780970E-03
 2020.551330    1.0234170641E-22    2.9407244641E-03
 2020.556120    1.0197954450E-22    2.9303179700E-03
 2020.560910    1.0161900826E-22    2.9199581883E-03
 2020.565700    1.0126008611E-22    2.9096447862E-03
 2020.570490    1.0090276958E-22    2.8993775208E-03
 2020.575280    1.0054705329E-22    2.8891562374E-03
 2020.580070    1.0019293477E-22    2.8789808649E-03
 2020.584860    9.9840414367E-23    2.8688514131E-03
 2020.589650    9.9489495086E-23    2.8587679686E-03
 2020.594440    9.9140182441E-23    2.8487306898E-03
 2020.599230    9.8792484318E-23    2.8387398033E-03
 2020.604020    9.8446410788E-23    2.8287955984E-03
 2020.608810    9.8101973951E-23    2.8188984228E-03
 2020.613600    9.7759187750E-23    2.8090486773E-03
 2020.618390    9.7418067801E-23    2.7992468104E-03
 2020.623180    9.7078631206E-23    2.7894933137E-03
 2020.627970    9.6740896385E-23    2.7797887164E-03
 2020.632760    9.6404882887E-23    2.7701335802E-03
 2020.637550    9.6070611213E-23    2.7605284942E-03
 2020.642340    9.5738102663E-23    2.7509740705E-03
 2020.647130    9.5407379146E-23    2.7414709386E-03
 2020.651920    9.5078463022E-23    2.7320197409E-03
 2020.656710    9.4751376967E-23    2.7226211292E-03
 2020.661500    9.4426143792E-23    2.7132757588E-03
 2020.666290    9.4102786330E-23    2.7039842858E-03
 2020.671080    9.3781327297E-23    2.6947473630E-03
 2020.675870    9.3461789149E-23    2.6855656356E-03
 2020.680660    9.3144194006E-23    2.6764397392E-03
 2020.685450    9.2828563505E-23    2.6673702956E-03
 2020.690240    9.2514918729E-23    2.6583579106E-03
 2020.695030    9.2203280114E-23    2.6494031713E-03
 2020.699820    9.1893667372E-23    2.6405066442E-03
 2020.704610    9.1586099421E-23    2.6316688729E-03
 2020.709400    9.1280594320E-23    2.6228903762E-03
 2020.714190    9.0977169229E-23    2.6141716474E-03
 2020.718980    9.0675840355E-23    2.6055131520E-03
 2020.723770    9.0376622927E-23    2.5969153277E-03
 2020.728560    9.0079531150E-23    2.5883785826E-03
 2020.733350    8.9784578205E-23    2.5799032956E-03
 2020.738140    8.9491776228E-23    2.5714898152E-03
 2020.742930    8.9201136295E-23    2.5631384598E-03
 2020.747720    8.8912668424E-23    2.5548495173E-03
 2020.752510    8.8626381582E-23    2.5466232452E-03
 2020.757300    8.8342283685E-23    2.5384598711E-03
